  -2.6962396e-02  -2.7137768e-02
  -2.6554819e-02  -2.7138038e-02
  -2.6147230e-02  -2.7138304e-02
  -2.5739629e-02  -2.7138567e-02
  -2.5332015e-02  -2.7138824e-02
  -2.4924392e-02  -2.7139077e-02
  -2.4516756e-02  -2.7139327e-02
  -2.4109108e-02  -2.7139572e-02
  -2.3701452e-02  -2.7139813e-02
  -2.3293782e-02  -2.7140051e-02
  -2.2886103e-02  -2.7140284e-02
  -2.2478413e-02  -2.7140513e-02
  -2.2070713e-02  -2.7140737e-02
  -2.1663005e-02  -2.7140958e-02
  -2.1255285e-02  -2.7141174e-02
  -2.0847555e-02  -2.7141387e-02
  -2.0439817e-02  -2.7141595e-02
  -2.0032069e-02  -2.7141800e-02
  -1.9624311e-02  -2.7141999e-02
  -1.9216545e-02  -2.7142197e-02
  -1.8808769e-02  -2.7142389e-02
  -1.8400986e-02  -2.7142577e-02
  -1.7993195e-02  -2.7142759e-02
  -1.7585395e-02  -2.7142940e-02
  -1.7177586e-02  -2.7143115e-02
  -1.6769771e-02  -2.7143287e-02
  -1.6361946e-02  -2.7143454e-02
  -1.5954116e-02  -2.7143616e-02
  -1.5546277e-02  -2.7143776e-02
  -1.5138432e-02  -2.7143931e-02
  -1.4730580e-02  -2.7144082e-02
  -1.4322721e-02  -2.7144227e-02
  -1.3914855e-02  -2.7144371e-02
  -1.3506983e-02  -2.7144508e-02
  -1.3099106e-02  -2.7144643e-02
  -1.2691222e-02  -2.7144773e-02
  -1.2283333e-02  -2.7144900e-02
  -1.1875438e-02  -2.7145023e-02
  -1.1467537e-02  -2.7145140e-02
  -1.1059631e-02  -2.7145253e-02
  -1.0651720e-02  -2.7145363e-02
  -1.0243804e-02  -2.7145468e-02
  -9.8358840e-03  -2.7145570e-02
  -9.4279591e-03  -2.7145667e-02
  -9.0200296e-03  -2.7145760e-02
  -8.6120963e-03  -2.7145850e-02
  -8.2041593e-03  -2.7145933e-02
  -7.7962182e-03  -2.7146015e-02
  -7.3882737e-03  -2.7146092e-02
  -6.9803260e-03  -2.7146164e-02
  -6.5723746e-03  -2.7146233e-02
  -6.1644209e-03  -2.7146297e-02
  -5.7564639e-03  -2.7146358e-02
  -5.3485045e-03  -2.7146414e-02
  -4.9405424e-03  -2.7146466e-02
  -4.5325784e-03  -2.7146513e-02
  -4.1246121e-03  -2.7146557e-02
  -3.7166441e-03  -2.7146596e-02
  -3.3086746e-03  -2.7146632e-02
  -2.9007031e-03  -2.7146664e-02
  -2.4927305e-03  -2.7146690e-02
  -2.0847567e-03  -2.7146714e-02
