  -2.7137768E-02  -2.6962396E-02
  -2.7138038E-02  -2.6554819E-02
  -2.7138304E-02  -2.6147230E-02
  -2.7138567E-02  -2.5739629E-02
  -2.7138824E-02  -2.5332015E-02
  -2.7139077E-02  -2.4924392E-02
  -2.7139327E-02  -2.4516756E-02
  -2.7139572E-02  -2.4109108E-02
  -2.7139813E-02  -2.3701452E-02
  -2.7140051E-02  -2.3293782E-02
  -2.7140284E-02  -2.2886103E-02
  -2.7140513E-02  -2.2478413E-02
  -2.7140737E-02  -2.2070713E-02
  -2.7140958E-02  -2.1663005E-02
  -2.7141174E-02  -2.1255285E-02
  -2.7141387E-02  -2.0847555E-02
  -2.7141595E-02  -2.0439817E-02
  -2.7141800E-02  -2.0032069E-02
  -2.7141999E-02  -1.9624311E-02
  -2.7142197E-02  -1.9216545E-02
  -2.7142389E-02  -1.8808769E-02
  -2.7142577E-02  -1.8400986E-02
  -2.7142759E-02  -1.7993195E-02
  -2.7142940E-02  -1.7585395E-02
  -2.7143115E-02  -1.7177586E-02
  -2.7143287E-02  -1.6769771E-02
  -2.7143454E-02  -1.6361946E-02
  -2.7143616E-02  -1.5954116E-02
  -2.7143776E-02  -1.5546277E-02
  -2.7143931E-02  -1.5138432E-02
  -2.7144082E-02  -1.4730580E-02
  -2.7144227E-02  -1.4322721E-02
  -2.7144371E-02  -1.3914855E-02
  -2.7144508E-02  -1.3506983E-02
  -2.7144643E-02  -1.3099106E-02
  -2.7144773E-02  -1.2691222E-02
  -2.7144900E-02  -1.2283333E-02
  -2.7145023E-02  -1.1875438E-02
  -2.7145140E-02  -1.1467537E-02
  -2.7145253E-02  -1.1059631E-02
  -2.7145363E-02  -1.0651720E-02
  -2.7145468E-02  -1.0243804E-02
  -2.7145570E-02  -9.8358840E-03
  -2.7145667E-02  -9.4279591E-03
  -2.7145760E-02  -9.0200296E-03
  -2.7145850E-02  -8.6120963E-03
  -2.7145933E-02  -8.2041593E-03
  -2.7146015E-02  -7.7962182E-03
  -2.7146092E-02  -7.3882737E-03
  -2.7146164E-02  -6.9803260E-03
  -2.7146233E-02  -6.5723746E-03
