  0.2720000E-02  0.3596820E+02  0.5585612E+01  0.1797760E-06  0.0000000E+00
  0.2856000E-02  0.3980590E+02  0.5250285E+01  0.1797760E-06  0.0000000E+00
  0.2998000E-02  0.3705410E+02  0.3215853E+01  0.2079360E-06  0.0000000E+00
  0.3148000E-02  0.3645290E+02  0.2787097E+01  0.2007040E-06  0.0000000E+00
  0.3306000E-02  0.3858250E+02  0.2072880E+01  0.2304000E-06  0.0000000E+00
  0.3471000E-02  0.3793880E+02  0.1824336E+01  0.2323240E-06  0.0000000E+00
  0.3645000E-02  0.3411650E+02  0.1205472E+01  0.2683240E-06  0.0000000E+00
  0.3827000E-02  0.3434670E+02  0.1106725E+01  0.2641960E-06  0.0000000E+00
  0.4018000E-02  0.3483880E+02  0.8245639E+00  0.3014010E-06  0.0000000E+00
  0.4219000E-02  0.3465890E+02  0.7718202E+00  0.3014010E-06  0.0000000E+00
  0.4430000E-02  0.3275520E+02  0.5379386E+00  0.3445690E-06  0.0000000E+00
  0.4651000E-02  0.3222690E+02  0.5092535E+00  0.3317760E-06  0.0000000E+00
  0.4884000E-02  0.3153500E+02  0.3840504E+00  0.3844000E-06  0.0000000E+00
  0.5128000E-02  0.3153120E+02  0.3636693E+00  0.3733210E-06  0.0000000E+00
  0.5385000E-02  0.3068910E+02  0.2836521E+00  0.4096000E-06  0.0000000E+00
  0.5654000E-02  0.3146590E+02  0.2718569E+00  0.4186090E-06  0.0000000E+00
  0.5937000E-02  0.3120060E+02  0.2233952E+00  0.4651240E-06  0.0000000E+00
  0.6233000E-02  0.2946960E+02  0.1972950E+00  0.4489000E-06  0.0000000E+00
  0.6545000E-02  0.2852130E+02  0.1606503E+00  0.4928040E-06  0.0000000E+00
  0.6872000E-02  0.2780780E+02  0.1466737E+00  0.4872040E-06  0.0000000E+00
  0.7216000E-02  0.2785500E+02  0.1255894E+00  0.5416960E-06  0.0000000E+00
  0.7577000E-02  0.2666290E+02  0.1118802E+00  0.5329000E-06  0.0000000E+00
  0.7956000E-02  0.2551160E+02  0.9460607E-01  0.5700250E-06  0.0000000E+00
  0.8353000E-02  0.2467890E+02  0.8425609E-01  0.5929000E-06  0.0000000E+00
  0.8771000E-02  0.2408870E+02  0.7394810E-01  0.6304360E-06  0.0000000E+00
  0.9210000E-02  0.2354870E+02  0.6706960E-01  0.6432040E-06  0.0000000E+00
  0.9670000E-02  0.2272480E+02  0.5928592E-01  0.7089640E-06  0.0000000E+00
  0.1015400E-01  0.2146620E+02  0.5180039E-01  0.7039210E-06  0.0000000E+00
  0.1066100E-01  0.2033840E+02  0.4502884E-01  0.7726410E-06  0.0000000E+00
  0.1119400E-01  0.1940510E+02  0.4043075E-01  0.7779240E-06  0.0000000E+00
  0.1175400E-01  0.1846350E+02  0.3546480E-01  0.8445610E-06  0.0000000E+00
  0.1234200E-01  0.1735360E+02  0.3116461E-01  0.8704890E-06  0.0000000E+00
  0.1295900E-01  0.1694060E+02  0.2863676E-01  0.9350890E-06  0.0000000E+00
  0.1360700E-01  0.1566370E+02  0.2490021E-01  0.9781210E-06  0.0000000E+00
  0.1428700E-01  0.1469810E+02  0.2209385E-01  0.1036324E-05  0.0000000E+00
  0.1500200E-01  0.1409400E+02  0.2023165E-01  0.1106704E-05  0.0000000E+00
  0.1575200E-01  0.1316290E+02  0.1784335E-01  0.1168561E-05  0.0000000E+00
  0.1653900E-01  0.1210900E+02  0.1591710E-01  0.1247689E-05  0.0000000E+00
  0.1736600E-01  0.1152760E+02  0.1430536E-01  0.1315609E-05  0.0000000E+00
  0.1823400E-01  0.1053090E+02  0.1270016E-01  0.1423249E-05  0.0000000E+00
  0.1914600E-01  0.1013540E+02  0.1171546E-01  0.1510441E-05  0.0000000E+00
  0.2010400E-01  0.9382350E+01  0.1055818E-01  0.1623076E-05  0.0000000E+00
  0.2110900E-01  0.8753770E+01  0.9343349E-02  0.1705636E-05  0.0000000E+00
  0.2216400E-01  0.8108440E+01  0.8411825E-02  0.1844164E-05  0.0000000E+00
  0.2327200E-01  0.7659510E+01  0.7438718E-02  0.1951609E-05  0.0000000E+00
  0.2443600E-01  0.6970880E+01  0.6758320E-02  0.2134521E-05  0.0000000E+00
  0.2565800E-01  0.6508160E+01  0.5578148E-02  0.2211169E-05  0.0000000E+00
  0.2694100E-01  0.5889140E+01  0.5000753E-02  0.2402500E-05  0.0000000E+00
  0.2828800E-01  0.5452500E+01  0.4088451E-02  0.2499561E-05  0.0000000E+00
  0.2970200E-01  0.5128140E+01  0.3595322E-02  0.2666689E-05  0.0000000E+00
  0.3118700E-01  0.4608270E+01  0.2916972E-02  0.2832489E-05  0.0000000E+00
  0.3274600E-01  0.4349330E+01  0.2415821E-02  0.2982529E-05  0.0000000E+00
  0.3438400E-01  0.3954520E+01  0.2050822E-02  0.3132900E-05  0.0000000E+00
  0.3610300E-01  0.3685920E+01  0.1619580E-02  0.3305124E-05  0.0000000E+00
  0.3790800E-01  0.3398380E+01  0.1384212E-02  0.3455881E-05  0.0000000E+00
  0.3980400E-01  0.3086930E+01  0.1054756E-02  0.3701776E-05  0.0000000E+00
  0.4179400E-01  0.2820800E+01  0.8949671E-03  0.3837681E-05  0.0000000E+00
  0.4388300E-01  0.2667700E+01  0.7013493E-03  0.4100625E-05  0.0000000E+00
  0.4607800E-01  0.2396270E+01  0.5750884E-03  0.4223025E-05  0.0000000E+00
  0.4838100E-01  0.2231150E+01  0.4533493E-03  0.4631104E-05  0.0000000E+00
  0.5080100E-01  0.2087340E+01  0.3832589E-03  0.4765489E-05  0.0000000E+00
  0.5334100E-01  0.1895540E+01  0.2899187E-03  0.5225796E-05  0.0000000E+00
  0.5600800E-01  0.1729280E+01  0.2421447E-03  0.5363856E-05  0.0000000E+00
  0.5880800E-01  0.1592940E+01  0.1870877E-03  0.5841889E-05  0.0000000E+00
  0.6174800E-01  0.1445720E+01  0.1558003E-03  0.6115729E-05  0.0000000E+00
  0.6483600E-01  0.1302260E+01  0.1191809E-03  0.6682225E-05  0.0000000E+00
  0.6807800E-01  0.1184830E+01  0.1003203E-03  0.7086244E-05  0.0000000E+00
  0.7148100E-01  0.1095370E+01  0.7881888E-04  0.7745089E-05  0.0000000E+00
  0.7505500E-01  0.9940600E+00  0.6612942E-04  0.8225424E-05  0.0000000E+00
  0.7880800E-01  0.8922790E+00  0.5201294E-04  0.8928144E-05  0.0000000E+00
  0.8274900E-01  0.8032750E+00  0.4323063E-04  0.9597604E-05  0.0000000E+00
  0.8688600E-01  0.7220740E+00  0.3478640E-04  0.1048464E-04  0.0000000E+00
  0.9123000E-01  0.6494330E+00  0.2877250E-04  0.1131650E-04  0.0000000E+00
  0.9579200E-01  0.5822470E+00  0.2360988E-04  0.1233414E-04  0.0000000E+00
  0.1005810E+00  0.5185430E+00  0.1941284E-04  0.1330061E-04  0.0000000E+00
  0.1056110E+00  0.4621240E+00  0.1612826E-04  0.1452372E-04  0.0000000E+00
  0.1108910E+00  0.4141390E+00  0.1344689E-04  0.1570537E-04  0.0000000E+00
  0.1164360E+00  0.3646030E+00  0.1122250E-04  0.1718932E-04  0.0000000E+00
  0.1222570E+00  0.3208090E+00  0.9278116E-05  0.1859334E-04  0.0000000E+00
  0.1283700E+00  0.2858250E+00  0.7912969E-05  0.2033108E-04  0.0000000E+00
  0.1347890E+00  0.2521010E+00  0.6599761E-05  0.2197734E-04  0.0000000E+00
  0.1415280E+00  0.2212390E+00  0.5588496E-05  0.2402960E-04  0.0000000E+00
  0.1486050E+00  0.1969220E+00  0.4782969E-05  0.2609166E-04  0.0000000E+00
  0.1560350E+00  0.1775720E+00  0.4194304E-05  0.2838758E-04  0.0000000E+00
  0.1638370E+00  0.1556850E+00  0.3564544E-05  0.3093584E-04  0.0000000E+00
  0.1720280E+00  0.1406520E+00  0.3164841E-05  0.3393063E-04  0.0000000E+00
  0.1806300E+00  0.1321500E+00  0.2893401E-05  0.3717341E-04  0.0000000E+00
  0.1896610E+00  0.1162530E+00  0.2556801E-05  0.4069164E-04  0.0000000E+00
  0.1991440E+00  0.1120620E+00  0.2396304E-05  0.4450224E-04  0.0000000E+00
  0.2091020E+00  0.1064110E+00  0.2235025E-05  0.4870644E-04  0.0000000E+00
  0.2195570E+00  0.1021220E+00  0.2099601E-05  0.5324621E-04  0.0000000E+00
  0.2305350E+00  0.9906600E-01  0.1948816E-05  0.5830850E-04  0.0000000E+00
  0.2420610E+00  0.9529000E-01  0.1879641E-05  0.6380814E-04  0.0000000E+00
  0.2541640E+00  0.9287300E-01  0.1771561E-05  0.7004016E-04  0.0000000E+00
  0.2668730E+00  0.8999700E-01  0.1682209E-05  0.7684276E-04  0.0000000E+00
  0.2802160E+00  0.9124700E-01  0.1638400E-05  0.8414393E-04  0.0000000E+00
  0.2942270E+00  0.8981200E-01  0.1552516E-05  0.9208322E-04  0.0000000E+00
  0.3089380E+00  0.8873200E-01  0.1493284E-05  0.1010226E-03  0.0000000E+00
  0.3243850E+00  0.9021300E-01  0.1416100E-05  0.1106073E-03  0.0000000E+00
  0.3406050E+00  0.9135800E-01  0.1404225E-05  0.1214184E-03  0.0000000E+00
  0.3576350E+00  0.9047700E-01  0.1301881E-05  0.1331716E-03  0.0000000E+00
  0.3755170E+00  0.9017200E-01  0.1292769E-05  0.1461923E-03  0.0000000E+00
  0.3942920E+00  0.8540000E-01  0.1162084E-05  0.1605036E-03  0.0000000E+00
  0.4140070E+00  0.8626100E-01  0.1164241E-05  0.1765178E-03  0.0000000E+00
  0.4347070E+00  0.8419700E-01  0.1058841E-05  0.1938778E-03  0.0000000E+00
  0.4564430E+00  0.8647100E-01  0.1092025E-05  0.2135982E-03  0.0000000E+00
