# Q	I_exp	I_fit	sigma_I	sigma_Q
1.283700e-01	2.858250e-01	2.940181e-01	2.813000e-03	4.509000e-03
1.347890e-01	2.521010e-01	2.619688e-01	2.569000e-03	4.688000e-03
1.415280e-01	2.212390e-01	2.323938e-01	2.364000e-03	4.902000e-03
1.486050e-01	1.969220e-01	2.052253e-01	2.187000e-03	5.108000e-03
1.560350e-01	1.775720e-01	1.808258e-01	2.048000e-03	5.328000e-03
1.638370e-01	1.556850e-01	1.594431e-01	1.888000e-03	5.562000e-03
1.720280e-01	1.406520e-01	1.423658e-01	1.779000e-03	5.825000e-03
1.806300e-01	1.321500e-01	1.286374e-01	1.701000e-03	6.097000e-03
1.896610e-01	1.162530e-01	1.175875e-01	1.599000e-03	6.379000e-03
1.991440e-01	1.120620e-01	1.095449e-01	1.548000e-03	6.671000e-03
2.091020e-01	1.064110e-01	1.044196e-01	1.495000e-03	6.979000e-03
2.195570e-01	1.021220e-01	1.015252e-01	1.449000e-03	7.297000e-03
2.305350e-01	9.906600e-02	1.001813e-01	1.396000e-03	7.636000e-03
2.420610e-01	9.529000e-02	9.986201e-02	1.371000e-03	7.988000e-03
2.541640e-01	9.287300e-02	9.997200e-02	1.331000e-03	8.369000e-03
2.668730e-01	8.999700e-02	1.000520e-01	1.297000e-03	8.766000e-03
2.802160e-01	9.124700e-02	9.989612e-02	1.280000e-03	9.173000e-03
2.942270e-01	8.981200e-02	9.947748e-02	1.246000e-03	9.596000e-03
3.089380e-01	8.873200e-02	9.892046e-02	1.222000e-03	1.005100e-02
3.243850e-01	9.021300e-02	9.844100e-02	1.190000e-03	1.051700e-02
3.406050e-01	9.135800e-02	9.801026e-02	1.185000e-03	1.101900e-02
3.576350e-01	9.047700e-02	9.744086e-02	1.141000e-03	1.154000e-02
3.755170e-01	9.017200e-02	9.676489e-02	1.137000e-03	1.209100e-02
3.942920e-01	8.540000e-02	9.620391e-02	1.078000e-03	1.266900e-02
4.140070e-01	8.626100e-02	9.593319e-02	1.079000e-03	1.328600e-02
4.347070e-01	8.419700e-02	9.588917e-02	1.029000e-03	1.392400e-02
4.564430e-01	8.647100e-02	9.583862e-02	1.045000e-03	1.461500e-02
4.792650e-01	8.205700e-02	9.571728e-02	1.003000e-03	1.532200e-02
5.032280e-01	8.142900e-02	9.562842e-02	1.015000e-03	1.608900e-02
5.283890e-01	7.628400e-02	9.559474e-02	9.760000e-04	1.686100e-02
5.548090e-01	7.875800e-02	9.552334e-02	1.025000e-03	1.771300e-02
5.825490e-01	7.401400e-02	9.542066e-02	9.910000e-04	1.856600e-02
6.116770e-01	7.703800e-02	9.537428e-02	1.056000e-03	1.950600e-02
6.422610e-01	7.299600e-02	9.536125e-02	1.026000e-03	2.045200e-02
